그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
Registration	11	Terms & Conditions		모두동의 체크박스 선택 시 체크박스 체크 동작 확인  - Confirm 버튼 활성화 	06_Registration_All	[01] 모두동의→확인 활성화					
Registration	12	Terms & Conditions		선택 동의사항 Uncheck 시 모두동의 체크박스 Uncheck 확인 - Confirm 버튼 활성화 유지 	06_Registration_All	[04] 선택항목 uncheck					
Registration	13	Terms & Conditions		필수동의사항 Uncheck 시 모두동의 체크박스 Uncheck 확인 - Confirm 버튼 비활성화	06_Registration_All	[02]+[03] 필수 uncheck→비활성화→재선택					
Registration	14	Terms & Conditions		Confirm 버튼 선택시 Sign UP 페이지 이동 확인	06_Registration_All	[05] Confirm→SignUp 이동					
Registration	15	Sign Up	User ID	User ID 입력필드 입력동작 확인 	06_Registration_All	[06] User ID 입력					
Registration	16	Sign Up	Password	Password 입력필드 입력동작확인 - 비밀번호 설정규칙 체크박스 활성화 확인	06_Registration_All	[07] Password 입력·규칙 확인					
Registration	17	Sign Up	Password	Confirm Password 입력필드 입력동작확인 - 비밀번호 일치 시 일치 체크박스 활성화 확인	06_Registration_All	[08] Confirm Password 일치 확인					
Registration	18	Sign Up	Mobile Number	Mobile Number 입력필드 입력동작 확인  -8자리입력 가능 	06_Registration_All	[09] Mobile Number 입력					
Registration	19	Sign Up	Nationality	Korean / Forreigner 항목 노출 및 선택 동작 확인 	06_Registration_All	[10] Nationality 선택(Korean/Foreigner)					
Registration	20	Sign Up	Save and Next	입력항목 모두 입력 시 버튼 활성화 확인 	06_Registration_All	[11] Save and Next 활성화·이동					
Registration	21	ID Information Verification	Korean	ID Card / Driving License 항목 발생 확인	06_Registration_All	[12] ID Card/Driving License 노출					
Registration	22	ID Information Verification	Korean	ID Card / Driving License 촬영 동작확인	06_Registration_All	[12] 촬영 동작 확인					
Registration	23	ID Information Verification	Korean	촬영한 신분증 정보 입력필드의 자동채움 동작 확인  - 수동입력 동작 확인 	06_Registration_All	[13] OCR 자동채움·수동입력 (Korean)					
Registration	24	ID Information Verification	Foreigner	Passport 항목 발생 확인	06_Registration_All	[14] Passport 항목 노출 (Foreigner)					
Registration	25	ID Information Verification	Foreigner	Passport 촬영동작 확인 	06_Registration_All	[15] Passport 촬영 동작					
Registration	26	ID Information Verification	Foreigner	촬영한 여권 정보 입력필드의 자동채움 동작 확인  - 수동입력 동작 확인 	06_Registration_All	[16] OCR 자동채움·수동입력 (Foreigner)					
Registration	27	ID Information Verification	Foreigner	ARC(외국인등록증) 촬영 동작 확인 (Foreigner) — 갤러리 ARC 선택 → 촬영 결과 확인 화면	06_Registration_All	[16a] ARC 촬영 동작 확인					
Registration	28	ID Information Verification	Foreigner	촬영한 ARC 정보 자동채움 / 수동입력 확인 (Foreigner) — 신분증번호 보안키패드, 발급일·만료일 선택	06_Registration_All	[16b] ARC OCR 자동채움·수동입력					
Registration	29	Personal Information	English Name	Sur name 입력동작 확인 	06_Registration_All	[17] Sur Name 입력					
Registration	30	Personal Information	English Name	Given Name 입력동작 확인 	06_Registration_All	[18] Given Name 입력·다음 활성화					
Registration	31	Personal Information	Address	도시 선택필드 선택 및 검색 동작 확인	06_Registration_All	[19] 도시 선택·검색					
Registration	32	Personal Information	Address	상세주소 입력동작 및 GPS 동작 확인 	06_Registration_All	[20] 상세주소 GPS 동작					
Registration	33	Personal Information	Occupation	Occupation 선택 동작 확인	06_Registration_All	[21] Occupation 선택					
Registration	34	Personal Information	Gender	Gender 선택 동작 확인 	06_Registration_All	[22] Gender 선택·다음 활성화					
Registration	35	Personal Information	Email	Email 입력동작 확인 	06_Registration_All	[23] Email 입력					
Registration	36	Personal Information	Referral Code	Referral Code 입력동작 확인 	06_Registration_All	[24] Referral Code 입력·다음 활성화					
Registration	37	Account Authenication	Referral Code	은행선택 필드 선택 동작 및 검색동작 확인 	06_Registration_All	[25] 은행 선택·검색					
Registration	38	Account Authenication	Referral Code	계좌번호 입력필드 입력동작 확인 	06_Registration_All	[26] 계좌번호 입력·확인 활성화					
Registration	39	Account Authenication	Referral Code	1원송금테스트 정상동작 확인 	—	—					
Registration	40	Simple Password Set	Referral Code	간편비빌번호설정 동작 및 로그인 동작 확인 	06_Registration_All	[27] 간편비밀번호 설정·로그인					
Registration	41	Screen Elements	Referral Code	초기화면 기본 요소 노출 — 언어 선택, 계좌입금·현금지급·모바일월렛 탭, 신규회원·로그인·지점·채팅 버튼	05_InitialScreen	[01] 초기화면 요소 노출 확인					
Initial  Screen	42	Select Language	Referral Code	언어변경 동작 확인	05_InitialScreen	[02] 언어 변경·복귀					
Initial  Screen	43	Today's Rate	Referral Code	국가 선택 및 금액 입력시 환율조회 동작 확인	05_InitialScreen	[03]+[04] 탭 전환·금액·통화 변경					
Initial  Screen	44	New User	Referral Code	이용약관 동의 화면 노출 확인	05_InitialScreen	[05] New User→약관 화면					
Initial  Screen	45	Login	Referral Code	Login 화면 이동 확인	05_InitialScreen	[06] Login→로그인 화면					
Initial  Screen	46	Branch	Referral Code	Branch 화면 이동 확인	05_InitialScreen	[07] Branch→지점 목록					
